Country,Total Cases,Total Deaths,Total Recovered,Daily Cases,Daily Deaths,Continent
USA,80145282,960157,51929244,0,0,North America
Mexico,5418257,315786,4676499,4832,98,North America
Canada,3243951,36046,3089377,0,0,North America
Cuba,1065947,8491,1054266,0,0,North America
Costa Rica,790444,7936,640463,0,0,North America
Guatemala,758303,16794,694801,0,0,North America
Panama,751241,8029,733330,0,0,North America
Dominican Republic,572290,4357,565641,0,0,North America
Honduras,408456,10671,127289,0,0,North America
El Salvador,147786,4044,123870,0,0,North America
Jamaica,127665,2787,75279,0,0,North America
Trinidad and Tobago,124076,3574,99478,0,0,North America
Guadeloupe,123622,828,2250,0,0,North America
Martinique,108349,861,104,0,0,North America
Belize,56256,645,53607,0,0,North America
Barbados,53884,311,50326,0,0,North America
Curaçao,38737,260,37949,0,0,North America
Aruba,33618,211,33355,0,0,North America
Bahamas,33068,770,26029,0,0,North America
Haiti,30260,819,25169,0,0,North America
Saint Lucia,22545,357,21168,0,0,North America
Cayman Islands,18728,17,8553,0,0,North America
Nicaragua,17895,219,4225,0,0,North America
Grenada,13532,214,13114,0,0,North America
Greenland,11581,12,2761,0,0,North America
Bermuda,11423,123,11096,0,0,North America
Dominica,10801,57,9947,0,0,North America
Saint Martin,9827,63,1399,0,0,North America
Antigua and Barbuda,7408,135,7189,0,0,North America
British Virgin Islands,6050,62,0,0,0,North America
Turks and Caicos,5846,36,5763,0,0,North America
Saint Kitts and Nevis,5523,42,5456,0,0,North America
St. Barth,3735,6,0,0,0,North America
Anguilla,2506,9,2476,0,0,North America
Saint Pierre Miquelon,1063,1,1035,0,0,North America
Montserrat,163,2,161,0,0,North America
Puerto Rico,39,2,1,8,0,North America
Saint Vincent and the Grenadines,1,0,0,0,0,North America
